gdp_per_capita,annual_income_eur,country_name,region
50.65612056,1530,Singapore,East Asia Pacific
36.15258927,477,"Hong Kong, China (SAR)",East Asia Pacific
6.831014796,17,China,East Asia Pacific
49.16654565,360,United States,North America
55.73294646,363,Australia,Oceania
48.93691702,306,Ireland,Europe and Central Asia
104.9978362,306,Luxembourg,Europe and Central Asia
45.21184696,234,Canada,North America
39.90794798,261,New Zealand,Oceania
43.03972572,211,Germany,Europe and Central Asia
5.834539331,201,South Africa,Africa
31.41765088,112,Italy,Europe and Central Asia
38.45930985,175,France,Europe and Central Asia
41.69877967,193,United Kingdom,Europe and Central Asia
32.57497405,182,Japan,East Asia Pacific
44.84133123,171,Finland,Europe and Central Asia
46.80403717,169,Iceland,Europe and Central Asia
25.17344563,168,Korea (Republic of),East Asia Pacific
18.09,166,Taiwan,East Asia Pacific
46.95495411,153,Netherlands,Europe and Central Asia
2.878825553,63,Egypt,Middle East and North Africa
1.297472808,68,Ghana,Africa
0.6261203327,77,Rwanda,Africa
0.4120727279,81,Liberia,Africa
1.391348024,90,C̫te d'Ivoire,Africa
5.916048064,95,Libya,Middle East and North Africa
4.867419142,99,Namibia,Africa
2.832364945,99,Congo,Africa
0.7290681901,104,Comoros,Africa
1.222435997,119,Kenya,Africa
4.935660125,151,Algeria,Middle East and North Africa
9.463507038,178,Turkey,Europe and Central Asia
11.46232656,122,Russian Federation,Europe and Central Asia
10.24597351,108,Brazil,Latin America and Caribbean
1.423359633,27,India,South Asia
9.293081459,144,Mexico,Latin America and Caribbean
3.305822258,194,Guatemala,Latin America and Caribbean
13.07549323,162,Chile,Latin America and Caribbean
7.113533196,108,Colombia,Latin America and Caribbean
11.25857801,108,Argentina,Latin America and Caribbean
15.12609594,135,Uruguay,Latin America and Caribbean
4.24154098,93,Paraguay,Latin America and Caribbean
5.711256653,76,Ecuador,Latin America and Caribbean
11.49443553,42,Venezuela (Bolivarian Republic of),Latin America and Caribbean
5.886927507,59,Peru,Latin America and Caribbean
2.191344446,48,Honduras,Latin America and Caribbean
2.811672686,31,Bolivia (Plurinational State of),Latin America and Caribbean
0.8380783683,16,Zimbabwe,Africa
19.91895673,70,Portugal,Europe and Central Asia
26.7906164,79,Spain,Europe and Central Asia
12.62584989,58,Hungary,Europe and Central Asia
87.57667943,162,Norway,Europe and Central Asia
77.03489394,415,Switzerland,Europe and Central Asia
